pais,moeda,pacote_local,album_local,custo_min_local,custo_solo_local,custo_solo_usd,salario_min_mensal_local,salario_min_usd,indice_min_pct,indice_solo_pct,meses_de_salario
Argentina,AR$,2000.0,15000.0,295000.0,2099000.0,1437.67,367800.0,251.92,80.2,570.7,5.71
Brasil,R$,7.0,24.9,1004.9,7318.9,1411.42,1621.0,312.6,62.0,451.5,4.52
Mexico,MX$,25.0,99.0,3599.0,26149.0,1504.03,9582.47,551.16,37.6,272.9,2.73
EUA (fed.),US$,2.0,5.0,285.0,2089.0,2089.0,1256.5,1256.5,22.7,166.3,1.66
Portugal,€,1.5,5.0,215.0,1568.0,1809.47,1073.33,1238.63,20.0,146.1,1.46
Espanha,€,1.5,5.0,215.0,1568.0,1809.47,1424.5,1643.87,15.1,110.1,1.1
Canada,C$,2.7,22.0,400.0,2835.4,2034.0,3153.0,2261.84,12.7,89.9,0.9
Franca,€,1.5,5.0,215.0,1568.0,1809.47,1867.02,2154.54,11.5,84.0,0.84
Alemanha,€,1.5,5.0,215.0,1568.0,1809.47,2343.0,2703.82,9.2,66.9,0.67
Reino Unido,£,1.25,4.99,179.99,1307.49,1749.03,2065.0,2762.35,8.7,63.3,0.63
